_,Starting chaos monkey,2024-11-19 10:34:04_399
site_3,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 10:34:19_886
site_3,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 10:34:32_843
site_4,Changing board state to Standby_active,2024-11-19 10:34:36_439
site_3,Changing voltage for UL6TIQKVK57P9O6E from site_3 to set_normal_voltage,2024-11-19 10:34:54_589
site_6,Changing voltage for BO1Y988F8K5LYFV8 from site_6 to set_high_voltage,2024-11-19 10:34:55_583
site_3,Changing voltage for 1R27HZZ2VD6UQSPQ from site_3 to set_low_voltage,2024-11-19 10:35:08_507
site_1,Changing board state to Standby_active,2024-11-19 10:35:12_372
site_4,Changing voltage for 1H9G9E40GJFVDFHY from site_4 to set_low_voltage,2024-11-19 10:35:18_506
site_2,Changing board state to Standby_active,2024-11-19 10:35:23_318
site_6,Changing voltage for EPZ4F8XS0YFBIZFN from site_6 to set_high_voltage,2024-11-19 10:35:44_441
site_4,Changing board state to Standby_failed,2024-11-19 10:35:54_729
site_5,Changing board state to Standby_active,2024-11-19 10:35:57_496
site_5,Changing board state to Standby_failed,2024-11-19 10:36:06_584
site_6,Changing voltage for MZNS1CJU7ET18X61 from site_6 to set_low_voltage,2024-11-19 10:36:15_113
site_5,Changing voltage for 50L7ZLE4YXQGHLMW from site_5 to set_normal_voltage,2024-11-19 10:36:17_294
site_1,Changing board state to Standby_failed,2024-11-19 10:36:23_834
site_2,Changing voltage for 1MXL3CIUXTF6SL4F from site_2 to set_normal_voltage,2024-11-19 10:36:28_023
site_5,Changing board state to Standby_active,2024-11-19 10:36:28_225
site_6,Changing board state to Standby_active,2024-11-19 10:36:38_034
site_4,Changing board state to Standby_active,2024-11-19 10:36:39_587
site_3,Changing board state to Standby_active,2024-11-19 10:36:45_892
site_2,Changing board state to Standby_failed,2024-11-19 10:36:47_076
site_2,Changing board state to Standby_active,2024-11-19 10:36:52_662
site_6,Changing board state to Standby_failed,2024-11-19 10:36:55_640
site_5,Changing voltage for CT04UIAMRETQ1465 from site_5 to set_normal_voltage,2024-11-19 10:36:58_430
site_4,Changing board state to Standby_failed,2024-11-19 10:37:02_104
site_2,Changing voltage for 5OGYXKA9WVFAPPJY from site_2 to set_normal_voltage,2024-11-19 10:37:04_795
site_6,Changing board state to Standby_active,2024-11-19 10:37:09_746
site_4,Changing voltage for EPZ4F8XS0YFBIZFN from site_4 to set_normal_voltage,2024-11-19 10:37:13_051
site_5,Changing board state to Standby_failed,2024-11-19 10:37:15_747
site_5,Changing board state to Standby_active,2024-11-19 10:37:19_031
site_2,Changing voltage for AWG7P12021AIWD9K from site_2 to set_low_voltage,2024-11-19 10:37:27_729
site_3,Changing board state to Standby_failed,2024-11-19 10:37:31_109
site_6,Changing board state to Standby_failed,2024-11-19 10:37:33_153
site_1,Changing voltage for 3GKOAF7ZT1YD9OCF from site_1 to set_normal_voltage,2024-11-19 10:37:42_311
site_3,Changing voltage for 1R27HZZ2VD6UQSPQ from site_3 to set_low_voltage,2024-11-19 10:37:58_303
site_1,Changing voltage for MDKCNMJIZS3J96BL from site_1 to set_low_voltage,2024-11-19 10:38:06_778
site_6,Changing board state to Standby_active,2024-11-19 10:38:09_803
site_1,Changing voltage for 3NPAGNT8ZKIXKO2Y from site_1 to set_high_voltage,2024-11-19 10:38:17_021
site_6,Changing voltage for PIBM83RJO5AZ00XR from site_6 to set_normal_voltage,2024-11-19 10:38:18_909
site_4,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 10:38:21_239
site_4,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 10:38:30_906
site_4,Changing board state to Standby_active,2024-11-19 10:38:33_128
site_6,Changing voltage for 1DX7HK5YVXO4FP25 from site_6 to set_normal_voltage,2024-11-19 10:38:34_832
site_5,Changing board state to Standby_failed,2024-11-19 10:38:35_632
site_6,Changing board state to Standby_failed,2024-11-19 10:38:39_097
site_6,Changing board state to Standby_active,2024-11-19 10:38:40_629
