_,Starting chaos monkey,2024-12-03 09:02:37_220
site_8,Changing board state to Standby_active,2024-12-03 09:02:43_928
site_10,Changing board state to Standby_active,2024-12-03 09:02:49_233
site_5,Changing voltage for 7V17FV3EPWIEBHIC from site_5 to set_normal_voltage,2024-12-03 09:02:53_085
site_3,Changing voltage for HIHZZJWM68XU3ZKM from site_3 to set_low_voltage,2024-12-03 09:02:56_972
site_5,Changing voltage for PP8V0VIGADM3NU6W from site_5 to set_high_voltage,2024-12-03 09:03:00_209
site_3,Changing board state to Standby_active,2024-12-03 09:03:01_276
site_3,Changing board state to Standby_failed,2024-12-03 09:03:02_377
site_8,Changing board state to Standby_failed,2024-12-03 09:03:09_622
site_4,Changing board state to Standby_active,2024-12-03 09:03:10_955
site_7,Changing voltage for MTIWDHHQGVUVVAZ2 from site_7 to set_high_voltage,2024-12-03 09:03:11_889
site_6,Changing voltage for GDVL4RQKYBRQETXY from site_6 to set_high_voltage,2024-12-03 09:03:14_120
site_1,Changing board state to Standby_active,2024-12-03 09:03:15_741
site_5,Changing voltage for UIYYSLIFOZ6TPCHY from site_5 to set_low_voltage,2024-12-03 09:03:16_125
site_5,Changing voltage for JA8CA8RENJVDBSCJ from site_5 to set_high_voltage,2024-12-03 09:03:17_012
site_3,Changing board state to Standby_active,2024-12-03 09:03:21_781
site_7,Changing voltage for AMVSAFUR96D75KHX from site_7 to set_high_voltage,2024-12-03 09:03:23_813
site_3,Changing board state to Standby_failed,2024-12-03 09:03:24_674
site_1,Changing voltage for FZUQP5RHLSZ7B894 from site_1 to set_high_voltage,2024-12-03 09:03:28_647
site_1,Changing board state to Standby_failed,2024-12-03 09:03:29_025
site_7,Changing voltage for 3MGAC3SPZAOHXTRH from site_7 to set_high_voltage,2024-12-03 09:03:32_592
site_4,Changing voltage for CROX483TKNWJQNQB from site_4 to set_normal_voltage,2024-12-03 09:03:36_838
site_6,Changing voltage for 110LZ5QYYNUJLQY5 from site_6 to set_high_voltage,2024-12-03 09:03:40_927
site_9,Changing voltage for M9KTZQ2KPVOK2S36 from site_9 to set_high_voltage,2024-12-03 09:03:43_127
site_9,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-12-03 09:03:54_868
site_9,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-12-03 09:04:04_805
site_9,Changing voltage for VM10N94AF389J3EH from site_9 to set_low_voltage,2024-12-03 09:04:06_737
site_5,Changing voltage for JEPXB2629RXBPGS9 from site_5 to set_low_voltage,2024-12-03 09:04:15_586
site_4,Changing voltage for 19MXIO200NDAP7F8 from site_4 to set_normal_voltage,2024-12-03 09:04:20_978
site_4,Changing voltage for ZQYA561615GITY76 from site_4 to set_high_voltage,2024-12-03 09:04:22_055
site_1,Changing voltage for YV32CC2QMTJBNIDH from site_1 to set_low_voltage,2024-12-03 09:04:25_688
site_9,Changing board state to Standby_active,2024-12-03 09:04:27_030
site_10,Changing voltage for YX4G0WGMC5BNBKFQ from site_10 to set_normal_voltage,2024-12-03 09:04:28_142
site_7,Changing voltage for EVWKCTYTU98SV6QL from site_7 to set_normal_voltage,2024-12-03 09:04:34_467
site_5,Changing voltage for HM7MUPO1JEU6HQVK from site_5 to set_low_voltage,2024-12-03 09:04:41_143
site_8,Changing voltage for E5VUZYSYZF4HHVV3 from site_8 to set_high_voltage,2024-12-03 09:04:42_805
site_7,Changing voltage for GYVREU8QNVKS5QOY from site_7 to set_low_voltage,2024-12-03 09:04:44_615
site_8,Changing voltage for RGTOR4HB21ND365F from site_8 to set_high_voltage,2024-12-03 09:04:45_982
site_4,Changing board state to Standby_failed,2024-12-03 09:04:47_204
site_7,Changing voltage for O1WSMRXE3X4O321L from site_7 to set_normal_voltage,2024-12-03 09:04:56_200
site_5,Changing board state to Standby_active,2024-12-03 09:04:57_174
site_7,Changing voltage for 2JL89QJCWDZX3IRN from site_7 to set_low_voltage,2024-12-03 09:04:57_598
site_1,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-12-03 09:05:09_810
site_1,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-12-03 09:05:24_720
site_8,Changing board state to Standby_active,2024-12-03 09:05:27_452
site_8,Changing voltage for O3MR053OAJQUCGM2 from site_8 to set_normal_voltage,2024-12-03 09:05:30_491
site_6,Changing voltage for JSB1VKBLUEX6UZOE from site_6 to set_high_voltage,2024-12-03 09:05:32_615
site_4,Changing board state to Standby_active,2024-12-03 09:05:35_588
site_9,Changing voltage for 5CZ5TKDMS5SPYJFT from site_9 to set_high_voltage,2024-12-03 09:05:39_847
site_9,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-12-03 09:06:00_457
site_9,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-12-03 09:06:15_154
site_5,Changing board state to Standby_failed,2024-12-03 09:06:28_305
