_,Starting chaos monkey,2024-11-20 15:18:20_454
site_6,Changing voltage for 1EKTBURH4FYJ3EEL from site_6 to set_normal_voltage,2024-11-20 15:18:29_462
site_3,Changing voltage for V3CJKZ2ZH8WSCOMG from site_3 to set_normal_voltage,2024-11-20 15:18:39_143
site_5,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 15:18:50_401
site_5,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 15:18:57_265
site_6,Changing voltage for PWKHPXNK3K44OV3M from site_6 to set_normal_voltage,2024-11-20 15:18:58_967
site_1,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 15:19:15_303
site_1,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 15:19:29_248
site_5,Changing board state to Standby_active,2024-11-20 15:19:37_843
site_8,Changing voltage for O7UFDXN2UUV1G16R from site_8 to set_low_voltage,2024-11-20 15:19:40_244
site_9,Changing voltage for 6J7GBJEJ39R0JY9R from site_9 to set_normal_voltage,2024-11-20 15:19:46_915
site_9,Changing board state to Standby_active,2024-11-20 15:19:49_005
site_3,Changing board state to Standby_active,2024-11-20 15:19:51_331
site_2,Changing board state to Standby_active,2024-11-20 15:19:52_014
site_4,Changing voltage for HNDZIX13L6DHF72N from site_4 to set_low_voltage,2024-11-20 15:19:57_693
site_7,Changing board state to Standby_active,2024-11-20 15:19:59_573
site_7,Changing board state to Standby_failed,2024-11-20 15:20:04_171
site_9,Changing board state to Standby_failed,2024-11-20 15:20:07_365
site_3,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 15:20:22_698
site_3,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 15:20:33_058
site_1,Changing board state to Standby_active,2024-11-20 15:20:37_498
site_9,Changing board state to Standby_active,2024-11-20 15:20:39_375
site_7,Changing voltage for MP5RUI1Y5CAPK7TR from site_7 to set_normal_voltage,2024-11-20 15:20:40_892
site_6,Changing voltage for 2A3HKZZ2KJN3ASTS from site_6 to set_high_voltage,2024-11-20 15:20:48_356
site_4,Changing voltage for 9MX9LONLESX6AYSU from site_4 to set_high_voltage,2024-11-20 15:20:49_797
site_9,Changing voltage for O7UFDXN2UUV1G16R from site_9 to set_low_voltage,2024-11-20 15:20:53_458
site_6,Changing voltage for IDLG9JWOLVVCO0ZM from site_6 to set_high_voltage,2024-11-20 15:21:09_360
site_4,Changing voltage for XUI9CPHC2AI13MLO from site_4 to set_high_voltage,2024-11-20 15:21:13_179
site_4,Changing voltage for GR8F1RX7L5BKHZ5N from site_4 to set_normal_voltage,2024-11-20 15:21:17_049
site_2,Changing board state to Standby_failed,2024-11-20 15:21:22_802
site_8,Changing board state to Standby_active,2024-11-20 15:21:24_805
site_7,Changing board state to Standby_active,2024-11-20 15:21:30_988
site_6,Changing board state to Standby_active,2024-11-20 15:21:32_771
site_6,Changing board state to Standby_failed,2024-11-20 15:21:45_413
site_6,Changing voltage for BUR74NO6ZHSMQDSJ from site_6 to set_high_voltage,2024-11-20 15:21:48_443
site_9,Changing voltage for XV18RH3YEHCYM4T1 from site_9 to set_normal_voltage,2024-11-20 15:21:49_673
site_8,Changing voltage for DJUTAXZI3QGC482R from site_8 to set_normal_voltage,2024-11-20 15:21:54_757
site_7,Changing board state to Standby_failed,2024-11-20 15:22:05_332
site_1,Changing voltage for WFXNYKKI41XPF5IQ from site_1 to set_normal_voltage,2024-11-20 15:22:11_016
site_9,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 15:22:24_870
site_9,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-20 15:22:35_270
site_5,Changing voltage for RUIOHTX3YXPVM1X5 from site_5 to set_high_voltage,2024-11-20 15:22:38_237
site_2,Changing board state to Standby_active,2024-11-20 15:22:41_178
site_4,Changing voltage for U9648YQCBAUGP88S from site_4 to set_normal_voltage,2024-11-20 15:22:51_158
site_9,Changing board state to Standby_active,2024-11-20 15:22:52_300
site_5,Changing voltage for CYWLYVBP3JZV9LMZ from site_5 to set_high_voltage,2024-11-20 15:22:55_307
site_3,Changing board state to Standby_active,2024-11-20 15:22:57_274
site_4,Changing voltage for 98A38WH022LJXGQN from site_4 to set_low_voltage,2024-11-20 15:23:00_219
site_1,Changing board state to Standby_failed,2024-11-20 15:23:01_734
site_8,Changing voltage for IW0OW769ZW61YU15 from site_8 to set_low_voltage,2024-11-20 15:23:06_370
