_,Starting chaos monkey,2024-11-19 19:17:37_706
site_7,Changing voltage for ZK0MG8FQWMPKCZNI from site_7 to set_normal_voltage,2024-11-19 19:17:39_913
site_1,Changing board state to Standby_active,2024-11-19 19:17:49_089
site_5,Changing voltage for L1G2ITV851O5KXWI from site_5 to set_normal_voltage,2024-11-19 19:17:52_638
site_5,Changing voltage for 15FOFS277V2PN76Z from site_5 to set_high_voltage,2024-11-19 19:18:00_617
site_2,Changing board state to Standby_active,2024-11-19 19:18:05_971
site_7,Changing voltage for Y7SEZUM3DMK4MSS0 from site_7 to set_high_voltage,2024-11-19 19:18:07_355
site_3,Changing voltage for CC37AG5XN1VLWYST from site_3 to set_normal_voltage,2024-11-19 19:18:09_409
site_6,Changing voltage for 82Z6FQO2RJFGZIGM from site_6 to set_normal_voltage,2024-11-19 19:18:10_796
site_5,Changing board state to Standby_active,2024-11-19 19:18:13_263
site_6,Changing board state to Standby_active,2024-11-19 19:18:18_332
site_5,Changing voltage for RBQQLRUTJ1SV96ZX from site_5 to set_low_voltage,2024-11-19 19:18:20_399
site_2,Changing voltage for GVXMEDXDW2E5ZNYP from site_2 to set_normal_voltage,2024-11-19 19:18:20_912
site_4,Changing board state to Standby_active,2024-11-19 19:18:27_498
site_2,Changing board state to Standby_failed,2024-11-19 19:18:28_034
site_4,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 19:18:38_740
site_4,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 19:18:53_898
site_6,Changing voltage for Q7NXBMSU01KBW3JS from site_6 to set_normal_voltage,2024-11-19 19:18:58_573
site_6,Changing board state to Standby_failed,2024-11-19 19:18:58_602
site_5,Changing board state to Standby_failed,2024-11-19 19:19:00_706
site_7,Changing voltage for UOAC0M3EXM32RIFW from site_7 to set_normal_voltage,2024-11-19 19:19:03_534
site_1,Changing board state to Standby_failed,2024-11-19 19:19:12_146
site_7,Changing voltage for CDTA129BFJI4ZO04 from site_7 to set_low_voltage,2024-11-19 19:19:16_539
site_2,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 19:19:17_855
