_,Starting chaos monkey,2024-11-19 12:22:02_841
site_3,Changing voltage for MZNS1CJU7ET18X61 from site_3 to set_high_voltage,2024-11-19 12:22:07_968
site_1,Changing voltage for JUHOO0QUU4U90K1B from site_1 to set_high_voltage,2024-11-19 12:22:17_596
site_5,Changing board state to Standby_active,2024-11-19 12:22:23_236
site_3,Changing voltage for 3Q5GHJ8D2GEM45WK from site_3 to set_normal_voltage,2024-11-19 12:22:33_010
site_1,Changing board state to Standby_active,2024-11-19 12:22:35_263
site_6,Changing voltage for ZNVYMWQ8R4KEOSRQ from site_6 to set_normal_voltage,2024-11-19 12:22:39_443
site_2,Changing voltage for I86PNM4QN1FN0BCW from site_2 to set_high_voltage,2024-11-19 12:22:50_604
site_1,Changing voltage for NT9F0CMH9756DD95 from site_1 to set_normal_voltage,2024-11-19 12:22:56_686
site_5,Changing board state to Standby_failed,2024-11-19 12:23:01_689
site_4,Changing board state to Standby_active,2024-11-19 12:23:08_725
site_3,Changing board state to Standby_active,2024-11-19 12:23:12_617
site_6,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 12:23:25_482
site_6,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 12:23:30_513
site_4,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 12:23:41_137
site_4,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 12:23:56_508
site_6,Changing board state to Standby_active,2024-11-19 12:23:57_615
site_3,Changing board state to Standby_failed,2024-11-19 12:24:00_935
site_2,Changing voltage for MDKCNMJIZS3J96BL from site_2 to set_high_voltage,2024-11-19 12:24:08_663
site_3,Changing board state to Standby_active,2024-11-19 12:24:16_524
site_3,Changing voltage for 7X2YLO0XPELWN39Q from site_3 to set_low_voltage,2024-11-19 12:24:19_292
site_4,Changing voltage for DPAUJ8FXPQJ5WP0E from site_4 to set_normal_voltage,2024-11-19 12:24:20_751
site_5,Changing voltage for L27J7QXL70F3S0QG from site_5 to set_high_voltage,2024-11-19 12:24:26_697
site_4,Changing board state to Standby_active,2024-11-19 12:24:30_012
site_2,Changing voltage for J0NYQG0R99CHUFWM from site_2 to set_high_voltage,2024-11-19 12:24:32_356
site_3,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 12:24:49_325
site_3,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 12:25:02_261
site_3,Changing board state to Standby_active,2024-11-19 12:25:04_610
site_2,Changing board state to Standby_active,2024-11-19 12:25:07_870
site_1,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 12:25:22_468
site_1,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 12:25:37_506
site_4,Changing board state to Standby_failed,2024-11-19 12:25:42_743
site_4,Changing voltage for JUHOO0QUU4U90K1B from site_4 to set_high_voltage,2024-11-19 12:25:43_964
site_5,Changing voltage for FR9BDZ4J7LQ683GV from site_5 to set_normal_voltage,2024-11-19 12:25:49_462
site_5,Changing board state to Standby_active,2024-11-19 12:25:51_236
site_1,Changing board state to Standby_active,2024-11-19 12:25:53_505
site_6,Changing voltage for D7F90VXRVQHZGKWI from site_6 to set_normal_voltage,2024-11-19 12:25:55_488
site_3,Changing voltage for P8CH5S6K81QI40BJ from site_3 to set_normal_voltage,2024-11-19 12:25:58_157
site_3,Changing board state to Standby_failed,2024-11-19 12:26:10_460
site_3,Changing voltage for OVL3Q6T0R5Q0P1TR from site_3 to set_high_voltage,2024-11-19 12:26:12_605
site_6,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 12:26:26_581
site_6,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 12:26:34_412
site_3,Changing board state to Standby_active,2024-11-19 12:26:36_444
site_2,Changing voltage for PIUJWFB578M664DD from site_2 to set_low_voltage,2024-11-19 12:26:36_891
