_,Starting chaos monkey,2024-11-13 19:09:40_770
site_3,Changing voltage for VZFFGN7A1KVE9OUW from site_3 to set_high_voltage,2024-11-13 19:09:50_119
site_5,Changing voltage for Z9B12IZQCGFH6H0J from site_5 to set_normal_voltage,2024-11-13 19:09:58_259
site_4,Changing board state to Standby_active,2024-11-13 19:09:59_416
site_2,Changing voltage for NB8M8MUFFSQ0DOGU from site_2 to set_high_voltage,2024-11-13 19:10:07_063
site_4,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-13 19:10:28_551
site_4,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-13 19:10:38_198
site_2,Changing voltage for KK0AFI1OFUM06147 from site_2 to set_high_voltage,2024-11-13 19:10:54_963
site_2,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-13 19:11:02_760
site_2,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-13 19:11:14_684
site_5,Changing voltage for JAQATJQVRE9CD1TQ from site_5 to set_normal_voltage,2024-11-13 19:11:36_433
site_4,Changing board state to Standby_active,2024-11-13 19:11:47_461
site_5,Changing voltage for 1UESW8NWMML0R5UA from site_5 to set_normal_voltage,2024-11-13 19:11:50_956
site_2,Changing voltage for GK75ZZZRO32PFF6V from site_2 to set_normal_voltage,2024-11-13 19:11:58_150
site_2,Changing voltage for 0HOSOPJYELKXK9R9 from site_2 to set_normal_voltage,2024-11-13 19:12:03_798
site_1,Changing board state to Standby_active,2024-11-13 19:12:04_737
site_3,Changing voltage for JD6HB7KAA2KXWAUZ from site_3 to set_low_voltage,2024-11-13 19:12:07_163
site_2,Changing board state to Standby_active,2024-11-13 19:12:08_994
site_4,Changing board state to Standby_failed,2024-11-13 19:12:21_576
site_5,Changing voltage for MSDD7J1FS5S757FL from site_5 to set_high_voltage,2024-11-13 19:12:22_839
site_4,Changing board state to Standby_active,2024-11-13 19:12:26_680
site_2,Changing board state to Standby_failed,2024-11-13 19:12:30_519
site_1,Changing voltage for GKD9PKEU0XIMGXQ2 from site_1 to set_high_voltage,2024-11-13 19:12:37_751
site_1,Changing voltage for 8ZZ5V6Y6O75A5LRV from site_1 to set_low_voltage,2024-11-13 19:12:40_334
site_4,Changing board state to Standby_failed,2024-11-13 19:12:42_621
site_3,Changing board state to Standby_active,2024-11-13 19:12:46_281
site_4,Changing board state to Standby_active,2024-11-13 19:12:50_047
site_2,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-13 19:13:08_183
